,title,ingredients,directions,NER
358,Pumpkin Lasagna,"[""1 kg pumpkin, in small cubes (Hokkaido, Butternut)"", ""5 garlic cloves, minced"", ""1 large red onion, chopped"", ""50 ml white wine"", ""250 g ricotta cheese"", ""2 tablespoons parsley, chopped"", ""3 tablespoons pine nuts"", ""16 -20 lasagna sheets (no precooking)"", ""50 g mozzarella cheese"", ""50 g mature cheese (Fontina, GruyA re, BergkA se)"", ""50 g parmesan cheese (grated)"", ""60 g butter"", ""60 g flour"", ""850 ml cold milk"", ""100 ml cream"", ""1 dash nutmeg"", ""12 teaspoon vegetable broth (powdered)"", ""1 tablespoon olive oil (or butter)"", ""salt and pepper""]","[""Toast pine nuts in a non stick pan until golden brown and fragrant."", ""Transfer to a plate and let cool."", ""Peel pumpkin if required, deseed and chop into rater small cubes."", ""Heat oil or butter in a large skillet and add chopped red onion and minced garlic."", ""Let fry a bit."", ""Now it's time to add the pumpkin cubes."", ""Stir and let fry for about 3 minutes."", ""Add white wine and ricotta."", ""Stir."", ""Salt and pepper to taste."", ""Let boil until pumpkin is tender (about 10-15minutes)."", ""Add chopped parsley and pine nuts."", ""For the sauce bechamel melt 60g butter in a pot and add flour."", ""Stir frequently (best with a wire whisk) and let flour \""roast\"" for about 30 seconds."", ""Add cold milk and cream and stir (It's important that the milk is cold otherwise flour chunks will form and spoil the sauce)."", ""Add vegetable broth granulate, nutmeg, salt and pepper and bring to a boil."", ""Let sauce boil for a couple of minutes until thick and creamy."", ""Butter a casserole and spread sauce bechamel evenly (about 1 generous scoop)."", ""Cover casserole with lasagna sheets (it takes usually 4-5 sheets per layer)."", ""Cover lasagna sheets with sauce bechamel."", ""Add pumpkin-filling."", ""Sprinkle layer with 1/3 of cheese mixture."", ""Repeat \""layering steps\"" excluding the cheese-sprinkling until pumpkin filling is used up."", ""Last layer: lasagna sheets, sauce bechamel and the rest of the cheese."", ""Cover casserole (aluminium foil) and let bake at 225C for 30 minutes, uncover and bake for about 15 minutes until golden brown."", ""Let lasagna \""rest\"" for about 15 minutes before serving."", ""Enjoy!"", ""(Don't forget to open windows for ventilations' sake in case you're using \""alpine cheese\"" (Bergkase :)).""]","[""mozzarella cheese"", ""mature cheese"", ""cream"", ""cold milk"", ""butter"", ""nutmeg"", ""parmesan cheese"", ""pumpkin"", ""lasagna sheets"", ""flour"", ""white wine"", ""pine nuts"", ""olive oil"", ""salt"", ""parsley"", ""ricotta cheese"", ""garlic"", ""red onion"", ""vegetable broth""]"
359,Turkey Tortilla Casserole,"[""1/2 c. onion, chopped"", ""1/2 c. chicken broth"", ""1/4 c. chopped celery"", ""3 c. chopped, cooked turkey or chicken"", ""1 can cream of chicken soup"", ""8 oz. shredded Cheddar cheese"", ""10 to 12 (6-inch) corn tortillas, torn into bite size pieces or equal amount of tortilla chips, broken"", ""1 (4 oz.) can diced green chilies, drained"", ""1 tsp. pepper"", ""1 c. chunky salsa""]","[""In 2-quart low baking dish (9 x 13-inches), cook onion, celery and broth in microwave for 2 to 3 minutes, until tender."", ""Stir in turkey, tortillas, chilies, soup, pepper and 6 ounces of the cheese."", ""Top casserole with reserved cheese and salsa."", ""Bake at 350\u00b0 about 30 minutes."", ""Let stand 5 minutes before serving.""]","[""green chilies"", ""cream of chicken soup"", ""pepper"", ""cheddar cheese"", ""onion"", ""celery"", ""chicken broth"", ""corn tortillas"", ""chicken"", ""chunky salsa""]"
360,German Chocolate Upside-Down Cake,"[""1 c. coconut"", ""1 c. pecans, chopped"", ""1 German chocolate cake mix"", ""1 (8 oz.) pkg. cream cheese (room temperature)"", ""1 stick margarine"", ""1 box powdered sugar""]","[""Grease well an 11 x 15 x 2-inch pan."", ""Sprinkle coconut and chopped nuts in bottom of pan."", ""Mix cake mix according to directions on package and pour over nuts and coconut."", ""Mix cream cheese and margarine; cream well and add powdered sugar and blend. Drop by teaspoon on top of batter in pan."", ""Do not spread."", ""Bake at 350\u00b0 for 45 minutes or until done.""]","[""chocolate cake"", ""powdered sugar"", ""pecans"", ""cream cheese"", ""margarine"", ""coconut""]"
361,Choc Chip Banana Cake,"[""FOR THE CAKE:"", ""1-3/4 cup Flour"", ""2/3 cups Sugar"", ""2 teaspoons Baking Powder"", ""1/2 teaspoons Baking Soda"", ""1/4 teaspoons Salt"", ""1 cup Mashed Bananas (2-3)"", ""1/3 cups Shortening, Margarine Or Butter"", ""2 Tablespoons Milk"", ""2 whole Eggs"", ""1/4 cups Chocolate Chips"", ""FOR FROSTING:"", ""1/2 cups Soft Cream Cheese"", ""1/2 cups Sugar"", ""1 teaspoon Vanilla"", ""1/2 cups Soft Butter"", ""1 cup Powdered Suagr"", ""1/2 cups Strong Black Coffee""]","[""I've made this bread for years and still enjoy it - it is an old Better Homes and Garden recipe, still yummy after all these years. Add frosting for a decadent cake."", ""In large mixer bowl combine 1 c of the flour, the sugar, baking powder, baking soda, and salt. Add mashed bananas, shortening, margarine or butter, and milk. Beat on low speed until blended, then on high speed for 2 minutes. Add eggs and remaining flour; beat until blended. Stir in chocolate chips. If you won't be icing this cake, then sprinkle top with brown sugar.*"", ""Pour batter into a greased 8x4x2\"" loaf pan (or cake pan for cake). Bake in a 350F oven for 55 to 60 minutes or until toothpick inserted near center comes out clean. Cool for 10 minutes on wire rack. Remove from the pan, cool thoroughly on wire rack. Wrap in plastic. It's even better the next day!"", ""*Don't do the brown sugar topping if you decide to ice this cake."", ""For cream cheese coffee icing, mix together and add coffee one tablespoon at a time to get the consistency you want and the coffee flavor you want. You can also make icing without coffee."", ""Enjoy!""]","[""baking powder"", ""sugar"", ""vanilla"", ""shortening"", ""baking soda"", ""\u00bc"", ""eggs"", ""bananas"", ""cream cheese"", ""flour"", ""cake"", ""milk"", ""strong black coffee"", ""butter""]"
362,Macaroon Kiss Cookies,"[""1/3 c. butter"", ""3/4 c. sugar"", ""2 tsp. almond extract"", ""1 1/4 c. flour"", ""1/4 tsp. salt"", ""1 (9 oz.) pkg. milk chocolate kisses"", ""1 (3 oz.) pkg. cream cheese"", ""1 egg yolk"", ""2 tsp. orange juice"", ""2 tsp. baking powder"", ""5 c. flaked coconut""]","[""Cream butter, softened cream cheese and sugar until light and fluffy."", ""Add egg yolk, almond extract and orange juice."", ""Beat well. Combine flour, baking powder and salt."", ""Stir in 3 cups flaked coconut."", ""Cover dough and chill about 1 hour."", ""Shape dough into 1-inch balls."", ""Roll balls in remaining coconut."", ""Place on ungreased cookie sheet."", ""Bake at 350\u00b0 for 10 to 12 minutes or until lightly browned on bottom."", ""Remove from oven and press a chocolate kiss into center of each cookie."", ""Allow to cool 1 minute."", ""Carefully remove cookies from sheet and cool until chocolate kisses are firm. Makes 4 1/2 dozen.""]","[""sugar"", ""baking powder"", ""egg yolk"", ""milk chocolate kisses"", ""cream cheese"", ""flour"", ""orange juice"", ""almond extract"", ""butter"", ""flaked coconut"", ""salt""]"
363,Pork Tenderloin And Broccoli With Asian Sauce,"[""1/4 cup soy sauce"", ""1/4 cup honey"", ""1 tablespoon minced fresh ginger"", ""1/2 - 1 teaspoon crushed red pepper flakes"", ""1 -2 tablespoon chopped fresh garlic (optional)"", ""1 pork tenderloin (cut in half lengthwise)"", ""7 cups fresh large broccoli florets (you can use any amount of broccoli for this!)"", ""2/3 cup orange juice"", ""2 teaspoons rice vinegar"", ""2 teaspoons cornstarch"", ""1 -2 tablespoon peanut oil""]","[""In a 13 x 9-inch baking dish, mix together soy sauce, honey, fresh minced ginger, red pepper flakes and chopped fresh garlic."", ""Add in the halved pork tenderloin and turn to coat."", ""Cover with plastic wrap and refrigerate 3 or more hours, turning occasionally to coat with marinade."", ""Meanwhile steam the broccoli until only crisp-tender; drain and set aside."", ""After the pork has marinated, heat about 1 tablespoon of peanut oil in a skillet."", ""Add in the pork and reserve ALL marinade."", ""Cook the pork until deep brown, turning often (it should take about 10-12 minutes to cook pork)."", ""Cut into about 1/2-inch thick slices."", ""Wipe the skillet clean."", ""In a small bowl combine orange juice, vinegar, cornstarch and all the reserved marinade from the pork."", ""Heat about 1 tablespoon peanut oil in the skillet."", ""Add in broccoli and saute on high heat until brown (about 1 minutes)."", ""Add in the pork slices and orange juice mixture; stir until sauce boils, thickens slightly and coats the broccoli and pork (about 1 minute)."", ""Season with salt and pepper."", ""Transfer to a bowl and serve.""]","[""soy sauce"", ""fresh ginger"", ""red pepper"", ""rice vinegar"", ""peanut oil"", ""cornstarch"", ""fresh garlic"", ""broccoli"", ""orange juice"", ""pork tenderloin"", ""honey""]"
364,My Pizza Pasta Recipe,"[""4 cups grated mozzarella cheese"", ""1 onion, diced"", ""1 green bell pepper, diced"", ""3 tble. oil"", ""1 lb sausage"", ""6 ounces pepperoni, diced"", ""5 ounces sliced black olives"", ""12 ounces sliced mushrooms, canned"", ""4 cups pizza sauce"", ""1 lb penne pasta""]","[""Saute the onion and bell pepper in a saucepan in the oil until tender."", ""Set aside."", ""Crumble the sausage and fry it in a nonstick frying pan until well browned."", ""Set aside."", ""Heat the pizza sauce, or you can use pasta sauce."", ""To make homemade pizza sauce I usually just take 2 cups of tomato sauce and add garlic and dried mixed Italian herbs to taste."", ""Double this to make 4 cups."", ""You might only need 2 cups of the sauce, just add 1/4 of the sauce, and then add more as needed."", ""Some people like a lot of sauce and some like very little."", ""Drain the olives and mushrooms of their liquid."", ""Cook the penne pasta (or you can use corkscrew pasta) until tender."", ""Drain."", ""Mix all of the ingredients (amounts as desired) together in a large mixing bowl and then put the mixture in a greased 9 x 13\"" pan."", ""Bake at 350 degrees until hot and the cheese has melted, around 30-40 minutes."", ""If you have a picky family and everyone wants it a dfiferent way, then let everyone put some pasta on their own large dinner plate."", ""Add desired ingredients and mix well."", ""Heat in the microwave at least one minute until hot and the cheese has melted."", ""Some people in my family prefer just the vegetarian ingredients while others don't want the sausage."", ""Canadian bacon would also be good in this."", ""Anything that you like on a pizza can be used in this recipe."", ""Some children may prefer just pasta, pizza sauce and cheese.""]","[""oil"", ""pizza sauce"", ""green bell pepper"", ""penne pasta"", ""mozzarella cheese"", ""onion"", ""mushrooms"", ""black olives"", ""sausage"", ""pepperoni""]"
365,Christmas Tea,"[""2 c. Tang mix"", ""1/2 c. instant tea"", ""1 tsp. powdered cloves"", ""1/3 c. sugar"", ""2 Tbsp. powdered cinnamon""]","[""Stir and store in airtight container."", ""Mix 2 teaspoons per cup boiling water.""]","[""instant tea"", ""mix"", ""powdered cloves"", ""sugar"", ""powdered cinnamon""]"
366,Cool Whip Pudding Cake,"[""1 c. flour or graham cracker crumbs"", ""1 c. chopped walnuts"", ""1/2 c. butter, softened"", ""1 (8 oz.) pkg. cream cheese"", ""1 c. confectioners sugar"", ""2 (8 oz.) cartons Cool Whip"", ""3 c. milk"", ""2 small boxes instant pudding (chocolate or vanilla)""]","[""Set oven to 350\u00b0."", ""Combine butter, 1/2 cup nuts and flour (or graham crumbs); mix thoroughly."", ""Grease 9 x 13-inch pan and press mixture into pan."", ""Bake for 20 minutes."", ""Let cool.""]","[""milk"", ""chocolate"", ""cream cheese"", ""flour"", ""walnuts"", ""confectioners sugar"", ""cartons"", ""butter""]"
367,Chopped Egg And Avocado Sandwich,"[""3 large hard-boiled eggs, peeled and chopped"", ""3 tablespoons white onions, chopped (use less if you prefer I would)"", ""2 tablespoons fresh parsley leaves, chopped"", ""1 teaspoon fresh dill or 1/4 teaspoon dried dill, chopped"", ""1/2 teaspoon Dijon mustard"", ""2 teaspoons mayonnaise"", ""1 large Hass avocado, diced (about 3/4 pound)"", ""1/4 teaspoon sea salt (to taste)"", ""1/16 teaspoon black pepper (to taste)"", ""6 -8 slices brioche bread or 6 -8 slices challah, lightly toasted"", ""4 slices muenster cheese, Mexican manchegoor Monterey Jack cheese (optional)""]","[""In a bowl, mix the eggs, onion, parsley, dill, Dijon and mayonnaise together."", ""Toss in the avocado, sprinkle with salt and pepper and gently mix well."", ""Lightly toast the bread slices."", ""Scoop a generous amount of the chopped egg and avocado on a slice of bread, add a slice of cheese and top with another slice of bread.""]","[""bread"", ""dijon mustard"", ""salt"", ""black pepper"", ""eggs"", ""fresh dill"", ""muenster cheese"", ""mayonnaise"", ""parsley"", ""white onions"", ""avocado""]"
368,Baked Two-Cheese Penne (With Ingredients of Own Choice),"[""2 -6 ounces dry penne pasta"", ""1 12-4 ounces parmesan cheese, grated"", ""23-2 tablespoon olive oil (I used grapeseed oil)"", ""3 13-5 ounces mozzarella cheese, diced"", ""salt"", ""ground black pepper"", ""2 tablespoons basil (I omit)"", ""1 (14 ounce) can plum tomatoes"", ""1 -2 stalk chopped celery or 1 -2 stalk other vegetables (or other desired ingredient)""]","[""Cook penne pasta until tender."", ""Drain and place in oven proof pan."", ""In a skillet, heat oil and saute tomatoes, or in my case celery."", ""Use a wodden spoon to break downt he tomatoes/stir the celery."", ""Stir in the mozzarella, half the parmesan, basil, salt and pepper to taste."", ""Let mixture bil and turn off heat."", ""Pour the mixuture over the pasta."", ""Bake at 400F (200C) for ten minutes or until cheese is golden brown.""]","[""tomatoes"", ""penne pasta"", ""mozzarella cheese"", ""parmesan cheese"", ""celery"", ""basil"", ""ground black pepper"", ""olive oil"", ""salt""]"
369,Mincemeat Upside Down Cake (Simplified),"[""1/4 cup unsalted butter, melted"", ""1/2 cup brown sugar, firmly packed"", ""1 1/3 cups mincemeat"", ""1/2 cup crushed pineapple"", ""1 (18 1/4 ounce) yellow cake mix"", ""3 eggs (or as called for by your cake mix)"", ""1/3 cup oil (or as called for by your cake mix)"", ""1 1/3 cups water (or as called for by your cake mix)""]","[""Preheat oven to 350 degrees F."", ""Spread melted butter evenly over bottom of 9\"" square cake pan OR a 10\"" round cake pan."", ""Sprinkle sugar evenly over butter."", ""Combine mincemeat & pineapple, then spread this mixture evenly oover butter/brown sugar mixture."", ""Prepare cake batter according to package directions, then pour it over mincemeat/pineapple mixture."", ""Bake 55-60 minutes, remove from oven & invert pan immediately over serving platter, but LEAVE IN PAN for several minutes before removing."", ""Serve warm or cold with a hard sauce or whipping cream.""]","[""oil"", ""unsalted butter"", ""brown sugar"", ""eggs"", ""water"", ""mincemeat"", ""pineapple"", ""yellow cake""]"
370,Pepper Beef,"[""3 Tbsp. peanut or vegetable oil"", ""1 lb. boneless, beef round steak, cut into thin strips"", ""1 medium green bell pepper, cut in 1-inch pieces"", ""1 medium red pepper, cut up"", ""1 medium onion, chopped"", ""1 c. celery, sliced"", ""3 c. hot water"", ""3 Tbsp. beef flavor"", ""3 Tbsp. soy sauce"", ""1/3 c. water"", ""3 Tbsp. cornstarch""]","[""In a large skillet heat oil."", ""Add beef."", ""Cook until browned. Stir in next 4 ingredients."", ""Stir-fry 5 minutes."", ""Add hot water, beef flavor and soy sauce."", ""Simmer 5 minutes.""]","[""steak"", ""green bell pepper"", ""soy sauce"", ""red pepper"", ""onion"", ""water"", ""celery"", ""cornstarch"", ""peanut"", ""beef flavor""]"
371,Greek Layered Dip ,"[""2 t. greek seasoning"", ""1 lb. ground lamb or hamburger"", ""1 t. garlic salt"", ""16 oz. hummus (prepared or make your own)"", ""8 oz. feta cheese"", ""1/2 cup greek yogurt"", ""1/2 cut fresh mint"", ""6 T. lemon juice - divided"", ""1/2 red onion chopped"", ""2 med. roma tomatoes"", ""1/2 cup chopped black olives"", ""1 cup shredded lettuce"", ""1 16 oz can chick peas drained, reserve liquid"", ""1/4 c + 2 T. olive oil"", ""1 1 1/2 T. tahini"", ""2 cloves garlic crushed"", ""1/2 t. salt""]","[""1. Brown ground meat with garlic salt and 2 t. greek seasoning. Drain and set aside."", ""2. Make Hummus Combine chick peas, 1/4c. reserved liquid, lemon juice, tahini, garlic cloves, salt, olive oil in blender. Blend until smooth. Can add more liquid if necessary"", ""3. Make sauce - In a blender combine yogurt, 1/4 c. olive oil, 4 oz. feta, mint, 3 T. lemon juice, sprinkle with salt and pepper. Blend or process until smooth."", ""3. Build Dip - In a shallow 1 1/2 quart dish, spread the hummus on the bottom,next top with ground meat, than yogurt sauce. Layer with lettuce, tomatoes, onion, olives and feta."", ""5. Serve at room temperature with pita chips""]","[""ground lamb"", ""greek yogurt"", ""salt"", ""lemon juice"", ""tahini"", ""shredded lettuce"", ""red onion"", ""feta cheese"", ""black olives"", ""chick peas"", ""roma tomatoes"", ""garlic"", ""greek seasoning"", ""+"", ""mint""]"
372,Crescent Chicken Squares,"[""3 oz. pkg. cream cheese"", ""3 Tbsp. butter, melted"", ""2 c. chicken, cooked and diced"", ""1/4 tsp. salt"", ""1/4 tsp. pepper"", ""2 Tbsp. milk"", ""1 Tbsp. chopped onion"", ""1 Tbsp. pimento"", ""1 (8 oz.) pkg. crescent rolls"", ""flavored bread crumbs""]","[""Blend cream cheese, milk and 2 tablespoons butter."", ""Add rest of ingredients and mix."", ""Squeeze and pinch together crescents to make 4 squares."", ""Use 2 triangular crescents pinched together to make 1 square."", ""Put 1/2 cup of mixture into crescent square."", ""Pull up and pinch sides together."", ""Brush with remaining melted butter; sprinkle with bread crumbs."", ""Bake at 350\u00b0 on ungreased sheet for 20 to 25 minutes.""]","[""pepper"", ""bread crumbs"", ""onion"", ""cream cheese"", ""pimento"", ""milk"", ""butter"", ""crescent rolls"", ""chicken"", ""salt""]"
